,ORIGIN_CITY,DEST_CITY,QUARTER,Carrier,Average_Delay_Time,Accidents,Average_Price,Food_Drink,Entertainment,Seat_comfort,Stuff_Service,Value_for_Money
275,Charlotte,Kansas City,3,American Airlines,9.981335953,108,263.5716726,2,2,2,2,2
276,Charlotte,Kansas City,4,American Airlines,6.625641026,108,252.643779,2,2,2,2,2
277,Charlotte,Las Vegas,1,American Airlines,8.552132701,108,372.9746833,2,2,2,2,2
278,Charlotte,Las Vegas,2,American Airlines,11.94056604,108,328.214692,2,2,2,2,2
279,Charlotte,Las Vegas,3,American Airlines,15.97484756,108,375.1627229,2,2,2,2,2
280,Charlotte,Las Vegas,4,American Airlines,7.082051282,108,334.1539831,2,2,2,2,2
281,Charlotte,Los Angeles,1,American Airlines,8.61963775,108,404.0365917,2,2,2,2,2
282,Charlotte,Los Angeles,2,American Airlines,13.04634721,108,396.4909835,2,2,2,2,2
283,Charlotte,Los Angeles,3,American Airlines,14.65768524,108,385.624309,2,2,2,2,2
284,Charlotte,Los Angeles,4,American Airlines,7.436123348,108,368.7553216,2,2,2,2,2
285,Charlotte,Louisville,2,American Airlines,2,108,243.3718353,2,2,2,2,2
286,Charlotte,Manchester,4,American Airlines,7.975,108,224.4977339,2,2,2,2,2
287,Charlotte,Memphis,1,American Airlines,6.332665331,108,244.4784287,2,2,2,2,2
288,Charlotte,Memphis,2,American Airlines,9.652877698,108,259.9246395,2,2,2,2,2
289,Charlotte,Memphis,3,American Airlines,11.74747475,108,247.4525289,2,2,2,2,2
290,Charlotte,Memphis,4,American Airlines,6.822094692,108,230.9728565,2,2,2,2,2
291,Charlotte,Miami,1,American Airlines,9.459398069,108,282.734723,2,2,2,2,2
292,Charlotte,Miami,2,American Airlines,14.64696814,108,281.9846603,2,2,2,2,2
